1	50	0	52	0	1	0	45	45	35	30	55	55	55	earth	60	1		0
2	90	105	90	0	2	0	20	20	20	0	15	-15	15	air	50	1	undead,spectral	0
8	105	1	105	0	1	0	20	20	20	0	20	20	20	-	0	1	demon	0
10	30	1	60	0	1	0	20	20	20	0	20	20	20	-	0	0		0
11	105	1	105	0	1	0	20	20	20	0	20	20	20	-	0	1	demon	0
26	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
27	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
28	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
29	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
30	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
31	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
32	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
34	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
37	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
38	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
39	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
40	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
41	10	1	22	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
42	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
43	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
44	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
45	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
46	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
47	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
48	18	1	24	0	1	0	0	0	0	0	0	0	0	fire	50	1	undead	0
